"subject","condition","target","rating"
"566106","equal","pity.target",2
"566106","equal","envy.target",7
"567877","equal","pity.target",6
"567877","equal","envy.target",7
"569406","competence-bias","envy.target",3
"569406","competence-bias","pity.target",3
"577664","warmth-bias","pity.target",5
"577664","warmth-bias","envy.target",4
"579265","warmth-bias","envy.target",7
"579265","warmth-bias","pity.target",6
"583643","competence-bias","pity.target",6
"583643","competence-bias","envy.target",4
"588315","competence-bias","envy.target",6
"588315","competence-bias","pity.target",5
"591640","warmth-bias","pity.target",4
"591640","warmth-bias","envy.target",6
"591674","warmth-bias","pity.target",4
"591674","warmth-bias","envy.target",5
"591913","equal","pity.target",6
"591913","equal","envy.target",5
"593014","competence-bias","envy.target",7
"593014","competence-bias","pity.target",4
"608066","warmth-bias","pity.target",5
"608066","warmth-bias","envy.target",6
"609731","warmth-bias","pity.target",6
"609731","warmth-bias","envy.target",6
"614522","competence-bias","envy.target",7
"614522","competence-bias","pity.target",7
"629187","warmth-bias","envy.target",6
"629187","warmth-bias","pity.target",3
"640124","competence-bias","pity.target",5
"640124","competence-bias","envy.target",4
"648110","equal","envy.target",7
"648110","equal","pity.target",7
"649980","equal","envy.target",7
"649980","equal","pity.target",5
"654510","competence-bias","envy.target",5
"654510","competence-bias","pity.target",3
"658274","warmth-bias","envy.target",6
"658274","warmth-bias","pity.target",6
"667622","warmth-bias","envy.target",5
"667622","warmth-bias","pity.target",6
"671212","competence-bias","pity.target",5
"671212","competence-bias","envy.target",7
"675306","warmth-bias","envy.target",6
"675306","warmth-bias","pity.target",3
"682598","warmth-bias","envy.target",6
"682598","warmth-bias","pity.target",5
"690903","competence-bias","envy.target",7
"690903","competence-bias","pity.target",7
"695733","equal","envy.target",6
"695733","equal","pity.target",7
"697134","warmth-bias","pity.target",7
"697134","warmth-bias","envy.target",7
"718529","equal","pity.target",5
"718529","equal","envy.target",5
"753384","competence-bias","pity.target",4
"753384","competence-bias","envy.target",4
"769120","equal","pity.target",4
"769120","equal","envy.target",5
"775194","warmth-bias","envy.target",6
"775194","warmth-bias","pity.target",4
"780849","warmth-bias","envy.target",5
"780849","warmth-bias","pity.target",3
"793440","equal","envy.target",6
"793440","equal","pity.target",6
"802353","warmth-bias","envy.target",6
"802353","warmth-bias","pity.target",4
"828546","warmth-bias","envy.target",6
"828546","warmth-bias","pity.target",5
"840545","equal","envy.target",5
"840545","equal","pity.target",6
"860571","competence-bias","envy.target",6
"860571","competence-bias","pity.target",3
"870993","equal","pity.target",7
"870993","equal","envy.target",5
"875798","competence-bias","pity.target",5
"875798","competence-bias","envy.target",5
"879193","competence-bias","pity.target",3
"879193","competence-bias","envy.target",6
"899981","equal","pity.target",5
"899981","equal","envy.target",3
"913078","competence-bias","pity.target",3
"913078","competence-bias","envy.target",6
"917708","equal","pity.target",3
"917708","equal","envy.target",6
"919965","warmth-bias","pity.target",6
"919965","warmth-bias","envy.target",7
"928705","competence-bias","envy.target",5
"928705","competence-bias","pity.target",6
"938308","warmth-bias","envy.target",7
"938308","warmth-bias","pity.target",6
"939701","warmth-bias","envy.target",7
"939701","warmth-bias","pity.target",6
"940312","competence-bias","pity.target",3
"940312","competence-bias","envy.target",5
"941995","warmth-bias","pity.target",7
"941995","warmth-bias","envy.target",7
"957824","competence-bias","envy.target",1
"957824","competence-bias","pity.target",2
"962514","warmth-bias","pity.target",6
"962514","warmth-bias","envy.target",7
"962820","competence-bias","envy.target",6
"963831","competence-bias","pity.target",4
"963831","competence-bias","envy.target",6
"969470","competence-bias","pity.target",4
"969470","competence-bias","envy.target",5
"971203","equal","envy.target",7
"971203","equal","pity.target",7
"975184","warmth-bias","envy.target",5
"975184","warmth-bias","pity.target",5
"977357","equal","envy.target",6
"977357","equal","pity.target",3
"982526","competence-bias","pity.target",5
"982526","competence-bias","envy.target",6
"988733","equal","envy.target",7
"988733","equal","pity.target",6
"992807","competence-bias","pity.target",3
"992807","competence-bias","envy.target",5
"993886","equal","pity.target",6
"993886","equal","envy.target",7
"995438","equal","envy.target",5
"995438","equal","pity.target",6
"1006903","equal","pity.target",5
"1006903","equal","envy.target",6
"1030997","warmth-bias","pity.target",6
"1030997","warmth-bias","envy.target",5
"1054706","competence-bias","envy.target",6
"1054706","competence-bias","pity.target",6
"1065677","equal","envy.target",6
"1065677","equal","pity.target",6
"1073993","warmth-bias","pity.target",5
"1073993","warmth-bias","envy.target",7
"1085335","competence-bias","pity.target",5
"1085335","competence-bias","envy.target",7
"1088525","competence-bias","envy.target",6
"1088525","competence-bias","pity.target",5
"1089751","competence-bias","pity.target",6
"1089751","competence-bias","envy.target",6
"1103218","equal","envy.target",6
"1103218","equal","pity.target",6
"1103559","warmth-bias","envy.target",6
"1103559","warmth-bias","pity.target",4
"1104977","competence-bias","envy.target",4
"1104977","competence-bias","pity.target",4
"1126692","competence-bias","envy.target",5
"1126692","competence-bias","pity.target",3
"1131087","equal","envy.target",4
"1131087","equal","pity.target",4
"1138020","equal","pity.target",7
"1138020","equal","envy.target",6
"1144986","warmth-bias","envy.target",3
"1144986","warmth-bias","pity.target",5
"1167995","warmth-bias","envy.target",5
"1167995","warmth-bias","pity.target",5
"1170416","equal","envy.target",4
"1170416","equal","pity.target",4
"1176647","equal","envy.target",7
"1176647","equal","pity.target",7
"1186930","competence-bias","envy.target",6
"1186930","competence-bias","pity.target",5
"1189303","competence-bias","pity.target",7
"1189303","competence-bias","envy.target",6
"1192106","competence-bias","envy.target",5
"1192106","competence-bias","pity.target",4
"1200070","equal","pity.target",5
"1200070","equal","envy.target",5
"1223440","competence-bias","pity.target",5
"1223440","competence-bias","envy.target",5
"1226527","equal","envy.target",7
"1226527","equal","pity.target",2
"1242595","competence-bias","pity.target",5
"1242595","competence-bias","envy.target",5
"1252301","equal","envy.target",3
"1252301","equal","pity.target",6
"1256111","competence-bias","envy.target",6
"1256111","competence-bias","pity.target",6
"1285318","equal","envy.target",4
"1285318","equal","pity.target",5
"1293148","competence-bias","envy.target",7
"1293148","competence-bias","pity.target",3
"1303332","equal","pity.target",5
"1303332","equal","envy.target",6
"1312072","warmth-bias","pity.target",5
"1312072","warmth-bias","envy.target",5
"1330899","equal","pity.target",6
"1330899","equal","envy.target",6
"1334808","competence-bias","pity.target",6
"1334808","competence-bias","envy.target",5
"1357662","competence-bias","pity.target",5
"1357662","competence-bias","envy.target",6
"1371067","equal","pity.target",5
"1371067","equal","envy.target",5
"1374847","warmth-bias","envy.target",2
"1374847","warmth-bias","pity.target",7
"1388551","equal","pity.target",6
"1388551","equal","envy.target",7
"1394800","competence-bias","envy.target",5
"1394800","competence-bias","pity.target",3
"1409572","competence-bias","envy.target",7
"1409572","competence-bias","pity.target",5
"1409665","competence-bias","envy.target",7
"1409665","competence-bias","pity.target",7
"1415125","equal","pity.target",7
"1415125","equal","envy.target",7
"1465505","warmth-bias","pity.target",4
"1465505","warmth-bias","envy.target",6
"1467117","competence-bias","pity.target",7
"1467117","competence-bias","envy.target",6
"1468424","warmth-bias","envy.target",7
"1468424","warmth-bias","pity.target",7
"1475143","equal","envy.target",7
"1475143","equal","pity.target",2
"1497552","competence-bias","pity.target",7
"1497552","competence-bias","envy.target",4
"1503286","warmth-bias","pity.target",7
"1503286","warmth-bias","envy.target",7
"1504440","equal","pity.target",4
"1504440","equal","envy.target",5
"1526007","warmth-bias","envy.target",6
"1526007","warmth-bias","pity.target",6
"1541762","warmth-bias","envy.target",6
"1541762","warmth-bias","pity.target",3
"1543545","warmth-bias","envy.target",5
"1543545","warmth-bias","pity.target",4
"1554238","warmth-bias","pity.target",6
"1554238","warmth-bias","envy.target",5
"1560823","equal","envy.target",3
"1560823","equal","pity.target",6
"1581141","competence-bias","envy.target",5
"1581141","competence-bias","pity.target",3
"1590435","warmth-bias","envy.target",5
"1590435","warmth-bias","pity.target",6
"1596867","equal","envy.target",5
"1596867","equal","pity.target",3
"1621690","warmth-bias","envy.target",6
"1621690","warmth-bias","pity.target",3
"1628213","competence-bias","pity.target",6
"1628213","competence-bias","envy.target",5
"1632978","warmth-bias","pity.target",5
"1632978","warmth-bias","envy.target",7
"1642696","equal","pity.target",6
"1642696","equal","envy.target",4
"1659092","warmth-bias","envy.target",6
"1659092","warmth-bias","pity.target",5
"1662690","warmth-bias","envy.target",7
"1662690","warmth-bias","pity.target",7
"1675058","competence-bias","pity.target",3
"1675058","competence-bias","envy.target",4
"1675886","equal","pity.target",6
"1675886","equal","envy.target",7
"1681002","equal","pity.target",7
"1681002","equal","envy.target",7
"1689201","competence-bias","pity.target",4
"1689201","competence-bias","envy.target",5
"1698789","equal","envy.target",7
"1698789","equal","pity.target",3
"1701812","competence-bias","envy.target",6
"1701812","competence-bias","pity.target",4
"1703725","equal","envy.target",5
"1703725","equal","pity.target",5
"1707628","equal","pity.target",6
"1707628","equal","envy.target",7
"1725802","equal","pity.target",5
"1725802","equal","envy.target",7
"1727426","equal","envy.target",5
"1727426","equal","pity.target",5
"1734585","equal","pity.target",5
"1734585","equal","envy.target",4
"1734824","competence-bias","envy.target",7
"1734824","competence-bias","pity.target",5
"1735200","warmth-bias","envy.target",4
"1735200","warmth-bias","pity.target",5
"1738207","competence-bias","envy.target",5
"1738207","competence-bias","pity.target",5
"1739987","warmth-bias","pity.target",6
"1739987","warmth-bias","envy.target",2
"1742394","competence-bias","pity.target",5
"1742394","competence-bias","envy.target",5
"1745869","competence-bias","pity.target",5
"1745869","competence-bias","envy.target",7
"1753436","warmth-bias","pity.target",4
"1753436","warmth-bias","envy.target",6
"1763110","equal","pity.target",6
"1763110","equal","envy.target",4
"1765670","warmth-bias","pity.target",6
"1765670","warmth-bias","envy.target",6
"1770698","competence-bias","pity.target",4
"1770698","competence-bias","envy.target",6
"1784294","warmth-bias","envy.target",5
"1784294","warmth-bias","pity.target",4
"1793456","equal","pity.target",6
"1793456","equal","envy.target",5
"1797228","equal","pity.target",6
"1797228","equal","envy.target",4
"1797524","warmth-bias","pity.target",5
"1797524","warmth-bias","envy.target",6
"1802040","competence-bias","envy.target",6
"1802040","competence-bias","pity.target",6
"1824609","equal","envy.target",7
"1824609","equal","pity.target",3
"1828748","competence-bias","pity.target",4
"1828748","competence-bias","envy.target",6
"1836945","warmth-bias","envy.target",5
"1836945","warmth-bias","pity.target",6
"1847539","competence-bias","envy.target",6
"1847539","competence-bias","pity.target",3
"1850167","warmth-bias","envy.target",5
"1850167","warmth-bias","pity.target",4
"1850490","equal","pity.target",4
"1850490","equal","envy.target",4
"1875448","competence-bias","envy.target",5
"1875448","competence-bias","pity.target",5
"1875750","competence-bias","envy.target",7
"1875750","competence-bias","pity.target",3
"1888095","warmth-bias","envy.target",7
"1888095","warmth-bias","pity.target",7
"1895535","equal","envy.target",3
"1895535","equal","pity.target",4
"1895904","equal","envy.target",6
"1895904","equal","pity.target",6
"1897454","competence-bias","pity.target",5
"1897454","competence-bias","envy.target",4
"1907243","competence-bias","envy.target",5
"1907243","competence-bias","pity.target",4
"1912891","warmth-bias","envy.target",6
"1912891","warmth-bias","pity.target",5
"1913223","equal","pity.target",4
"1913223","equal","envy.target",4
"1914034","warmth-bias","envy.target",6
"1914034","warmth-bias","pity.target",7
"1915104","warmth-bias","envy.target",6
"1915104","warmth-bias","pity.target",4
"1915406","equal","pity.target",6
"1915406","equal","envy.target",5
"1949579","competence-bias","envy.target",4
"1949579","competence-bias","pity.target",4
"1971483","competence-bias","envy.target",7
"1971483","competence-bias","pity.target",6
"1978468","equal","pity.target",6
"1978468","equal","envy.target",6
"1979778","warmth-bias","envy.target",7
"1979778","warmth-bias","pity.target",3
"1987046","warmth-bias","pity.target",6
"1987046","warmth-bias","envy.target",5
"2009118","competence-bias","envy.target",6
"2009118","competence-bias","pity.target",5
"2009789","warmth-bias","envy.target",4
"2009789","warmth-bias","pity.target",6
"2053669","warmth-bias","pity.target",5
"2053669","warmth-bias","envy.target",6
"2066008","competence-bias","envy.target",6
"2066008","competence-bias","pity.target",6
"2069621","equal","pity.target",5
"2069621","equal","envy.target",6
"2076149","warmth-bias","pity.target",7
"2076149","warmth-bias","envy.target",7
"2079021","competence-bias","pity.target",7
"2079021","competence-bias","envy.target",7
"2080529","competence-bias","envy.target",7
"2080529","competence-bias","pity.target",7
"2097713","equal","envy.target",3
"2097713","equal","pity.target",3
"2100853","warmth-bias","envy.target",7
"2100853","warmth-bias","pity.target",6
"2104921","competence-bias","pity.target",6
"2104921","competence-bias","envy.target",7
"2116078","equal","envy.target",3
"2116078","equal","pity.target",7
"2131387","warmth-bias","envy.target",3
"2131387","warmth-bias","pity.target",3
"2166251","competence-bias","envy.target",5
"2166251","competence-bias","pity.target",5
"2171666","warmth-bias","envy.target",7
"2171666","warmth-bias","pity.target",7
"2182868","competence-bias","pity.target",1
"2182868","competence-bias","envy.target",7
"2200226","competence-bias","envy.target",6
"2200226","competence-bias","pity.target",6
"2206254","warmth-bias","envy.target",6
"2206254","warmth-bias","pity.target",4
"2221547","competence-bias","envy.target",6
"2221547","competence-bias","pity.target",5
"2239126","warmth-bias","pity.target",5
"2239126","warmth-bias","envy.target",5
"2240919","equal","pity.target",4
"2240919","equal","envy.target",4
"2246436","equal","envy.target",7
"2246436","equal","pity.target",7
"2271229","competence-bias","envy.target",6
"2271229","competence-bias","pity.target",3
"2272390","warmth-bias","pity.target",6
"2272390","warmth-bias","envy.target",6
"2274485","equal","pity.target",6
"2274485","equal","envy.target",3
"2283947","competence-bias","envy.target",6
"2283947","competence-bias","pity.target",6
"2287159","equal","envy.target",4
"2287159","equal","pity.target",4
"2297384","warmth-bias","envy.target",6
"2297384","warmth-bias","pity.target",6
"2311632","equal","pity.target",5
"2311632","equal","envy.target",5
"2321035","competence-bias","pity.target",5
"2321035","competence-bias","envy.target",6
"2328520","competence-bias","pity.target",5
"2328520","competence-bias","envy.target",7
"2342783","equal","pity.target",7
"2342783","equal","envy.target",7
"2361061","competence-bias","envy.target",3
"2361061","competence-bias","pity.target",5
"2375518","competence-bias","pity.target",5
"2375518","competence-bias","envy.target",3
"2378398","warmth-bias","pity.target",6
"2378398","warmth-bias","envy.target",5
"2387216","warmth-bias","envy.target",5
"2387216","warmth-bias","pity.target",4
"2399515","warmth-bias","pity.target",3
"2399515","warmth-bias","envy.target",7
"2405293","equal","envy.target",7
"2405293","equal","pity.target",6
"2406716","warmth-bias","pity.target",2
"2406716","warmth-bias","envy.target",6
"2425139","warmth-bias","envy.target",6
"2425139","warmth-bias","pity.target",5
"2426241","equal","pity.target",5
"2426241","equal","envy.target",6
"2426402","competence-bias","pity.target",7
"2426402","competence-bias","envy.target",4
"2427067","competence-bias","envy.target",5
"2427067","competence-bias","pity.target",6
"2431851","competence-bias","pity.target",5
"2431851","competence-bias","envy.target",6
"2432153","equal","envy.target",7
"2432153","equal","pity.target",5
"2434704","competence-bias","pity.target",4
"2434704","competence-bias","envy.target",4
"2448937","equal","pity.target",5
"2448937","equal","envy.target",6
"2456075","competence-bias","envy.target",5
"2456075","competence-bias","pity.target",5
"2457893","equal","envy.target",6
"2457893","equal","pity.target",7
"2457955","equal","envy.target",7
"2457955","equal","pity.target",7
"2460287","equal","envy.target",7
"2460287","equal","pity.target",7
"2461273","competence-bias","envy.target",7
"2461273","competence-bias","pity.target",5
"2487406","competence-bias","pity.target",6
"2487406","competence-bias","envy.target",4
"2499401","warmth-bias","pity.target",5
"2499401","warmth-bias","envy.target",6
"2504942","warmth-bias","pity.target",5
"2504942","warmth-bias","envy.target",6
"2522098","warmth-bias","envy.target",7
"2522098","warmth-bias","pity.target",7
"2522126","competence-bias","pity.target",5
"2522126","competence-bias","envy.target",5
"2526800","equal","pity.target",4
"2526800","equal","envy.target",5
"2559384","warmth-bias","envy.target",6
"2559384","warmth-bias","pity.target",7
"2567287","warmth-bias","pity.target",7
"2567287","warmth-bias","envy.target",7
"2584881","equal","envy.target",6
"2584881","equal","pity.target",5
"2588525","warmth-bias","envy.target",5
"2588525","warmth-bias","pity.target",6
"2595658","equal","envy.target",5
"2595658","equal","pity.target",3
"2605581","warmth-bias","pity.target",5
"2605581","warmth-bias","envy.target",6
"2610170","warmth-bias","pity.target",5
"2614326","competence-bias","pity.target",6
"2614326","competence-bias","envy.target",6
"2625140","competence-bias","envy.target",5
"2625140","competence-bias","pity.target",3
"2629574","warmth-bias","envy.target",4
"2629574","warmth-bias","pity.target",5
"2636957","equal","envy.target",6
"2636957","equal","pity.target",6
"2638043","warmth-bias","pity.target",7
"2638043","warmth-bias","envy.target",6
"2642839","competence-bias","pity.target",5
"2642839","competence-bias","envy.target",6
"2687868","equal","pity.target",6
"2687868","equal","envy.target",6
"2689615","competence-bias","envy.target",6
"2689615","competence-bias","pity.target",3
"2690574","warmth-bias","pity.target",5
"2690574","warmth-bias","envy.target",7
"2697225","competence-bias","pity.target",5
"2697225","competence-bias","envy.target",7
"2704054","equal","envy.target",6
"2704054","equal","pity.target",4
"2706544","competence-bias","pity.target",7
"2706544","competence-bias","envy.target",7
"2717960","competence-bias","envy.target",6
"2717960","competence-bias","pity.target",6
"2724492","competence-bias","envy.target",6
"2724492","competence-bias","pity.target",5
"2727183","competence-bias","envy.target",7
"2727183","competence-bias","pity.target",5
"2729617","equal","envy.target",6
"2729617","equal","pity.target",5
"2737961","equal","envy.target",3
"2737961","equal","pity.target",3
"2745757","warmth-bias","envy.target",5
"2745757","warmth-bias","pity.target",5
"2765046","equal","pity.target",3
"2765046","equal","envy.target",5
"2765485","warmth-bias","envy.target",6
"2765485","warmth-bias","pity.target",3
"2766042","competence-bias","pity.target",2
"2766042","competence-bias","envy.target",5
"2768365","equal","envy.target",7
"2768365","equal","pity.target",3
"2771194","warmth-bias","envy.target",5
"2771194","warmth-bias","pity.target",6
"2785687","warmth-bias","pity.target",5
"2785687","warmth-bias","envy.target",6
"2798467","competence-bias","pity.target",5
"2798467","competence-bias","envy.target",6
"2805719","equal","pity.target",5
"2805719","equal","envy.target",5
"2822611","competence-bias","pity.target",6
"2822611","competence-bias","envy.target",6
"2841457","competence-bias","envy.target",7
"2841457","competence-bias","pity.target",4
"2847314","competence-bias","envy.target",5
"2847314","competence-bias","pity.target",5
"2848630","competence-bias","envy.target",7
"2848630","competence-bias","pity.target",7
"2862893","warmth-bias","pity.target",6
"2862893","warmth-bias","envy.target",7
"2873173","competence-bias","pity.target",5
"2873173","competence-bias","envy.target",7
"2878736","competence-bias","pity.target",4
"2878736","competence-bias","envy.target",5
"2879151","competence-bias","envy.target",6
"2879151","competence-bias","pity.target",7
"2891378","competence-bias","envy.target",6
"2891615","warmth-bias","envy.target",6
"2891615","warmth-bias","pity.target",6
"2892694","equal","envy.target",5
"2892694","equal","pity.target",6
"2895063","warmth-bias","envy.target",6
"2895063","warmth-bias","pity.target",6
"2905487","warmth-bias","pity.target",2
"2905487","warmth-bias","envy.target",3
"2906920","equal","pity.target",6
"2906920","equal","envy.target",7
"2912376","equal","envy.target",7
"2912376","equal","pity.target",3
"2914938","equal","envy.target",3
"2914938","equal","pity.target",5
"2915745","warmth-bias","envy.target",7
"2915745","warmth-bias","pity.target",6
"2932147","competence-bias","pity.target",6
"2932147","competence-bias","envy.target",3
"2943271","warmth-bias","pity.target",7
"2943271","warmth-bias","envy.target",6
"2954010","warmth-bias","envy.target",6
"2954010","warmth-bias","pity.target",4
"2966589","equal","pity.target",2
"2966589","equal","envy.target",5
"2970867","competence-bias","envy.target",5
"2970867","competence-bias","pity.target",5
"2981301","equal","pity.target",6
"2981301","equal","envy.target",5
"2996502","competence-bias","pity.target",7
"2996502","competence-bias","envy.target",6
"3019716","competence-bias","pity.target",5
"3019716","competence-bias","envy.target",6
"3020654","competence-bias","pity.target",5
"3020654","competence-bias","envy.target",7
"3022860","competence-bias","pity.target",7
"3022860","competence-bias","envy.target",7
"3025641","warmth-bias","envy.target",6
"3025641","warmth-bias","pity.target",5
"3029059","warmth-bias","envy.target",6
"3029059","warmth-bias","pity.target",7
"3035876","competence-bias","envy.target",6
"3035876","competence-bias","pity.target",5
"3039524","warmth-bias","envy.target",6
"3039524","warmth-bias","pity.target",3
"3045088","competence-bias","envy.target",5
"3045088","competence-bias","pity.target",5
"3046787","competence-bias","envy.target",5
"3046787","competence-bias","pity.target",5
"3051862","equal","pity.target",5
"3051862","equal","envy.target",7
"3057395","equal","pity.target",5
"3057395","equal","envy.target",2
"3060060","equal","envy.target",7
"3060060","equal","pity.target",5
"3073488","equal","pity.target",2
"3073488","equal","envy.target",6
"3081369","warmth-bias","envy.target",7
"3081369","warmth-bias","pity.target",4
"3082709","warmth-bias","pity.target",5
"3082709","warmth-bias","envy.target",4
"3086636","competence-bias","envy.target",6
"3086636","competence-bias","pity.target",5
"3097203","competence-bias","pity.target",6
"3097203","competence-bias","envy.target",6
"3112637","warmth-bias","envy.target",6
"3112637","warmth-bias","pity.target",5
"3115379","warmth-bias","envy.target",5
"3115379","warmth-bias","pity.target",3
"3117823","equal","envy.target",6
"3117823","equal","pity.target",6
"3122257","warmth-bias","pity.target",5
"3122257","warmth-bias","envy.target",6
"3136481","competence-bias","envy.target",3
"3136481","competence-bias","pity.target",5
"3153991","competence-bias","envy.target",6
"3153991","competence-bias","pity.target",7
"3155216","equal","pity.target",7
"3155216","equal","envy.target",3
"3169728","warmth-bias","envy.target",7
"3169728","warmth-bias","pity.target",5
"3175195","competence-bias","pity.target",4
"3175195","competence-bias","envy.target",6
"3176488","warmth-bias","envy.target",4
"3176488","warmth-bias","pity.target",4
"3193181","equal","envy.target",5
"3193181","equal","pity.target",6
"3204582","competence-bias","pity.target",4
"3204582","competence-bias","envy.target",6
"3206983","warmth-bias","envy.target",5
"3206983","warmth-bias","pity.target",3
"3214583","competence-bias","envy.target",5
"3214583","competence-bias","pity.target",6
"3233612","equal","envy.target",4
"3233612","equal","pity.target",2
"3257256","competence-bias","envy.target",6
"3257256","competence-bias","pity.target",2
"3268222","competence-bias","envy.target",6
"3268222","competence-bias","pity.target",7
"3270689","equal","envy.target",5
"3270689","equal","pity.target",6
"3276076","warmth-bias","pity.target",7
"3276076","warmth-bias","envy.target",6
"3276467","equal","pity.target",6
"3276467","equal","envy.target",5
"3280753","warmth-bias","envy.target",6
"3280753","warmth-bias","pity.target",5
"3280990","equal","pity.target",5
"3280990","equal","envy.target",6
"3285434","competence-bias","envy.target",5
"3285434","competence-bias","pity.target",6
"3294599","equal","envy.target",5
"3294599","equal","pity.target",5
"3301548","equal","pity.target",2
"3301548","equal","envy.target",5
"3310000","equal","pity.target",5
"3310000","equal","envy.target",6
"3310477","competence-bias","pity.target",4
"3310477","competence-bias","envy.target",7
"3310750","equal","envy.target",5
"3310750","equal","pity.target",5
"3328202","equal","envy.target",6
"3328202","equal","pity.target",3
"3339804","warmth-bias","envy.target",5
"3339804","warmth-bias","pity.target",3
"3347068","equal","pity.target",5
"3347068","equal","envy.target",4
"3349658","warmth-bias","envy.target",5
"3349658","warmth-bias","pity.target",5
"3351293","equal","pity.target",6
"3351293","equal","envy.target",7
"3358993","competence-bias","pity.target",6
"3358993","competence-bias","envy.target",7
"3365654","equal","pity.target",6
