"subject","trial","trial.type","choice"
"26992",12,"Which candidate is more warm?","envy.target"
"26992",13,"Which candidate is more competent?","envy.target"
"26992",14,"Which candidate is more competent?","pity.target"
"26992",15,"Which candidate is more competent?","envy.target"
"26992",16,"Which candidate is more competent?","envy.target"
"26992",17,"Which candidate is more competent?","envy.target"
"26992",18,"Which candidate is more competent?","envy.target"
"26992",19,"Which candidate is more competent?","envy.target"
"26992",2,"Which candidate is more competent?","pity.target"
"26992",20,"Which candidate is more competent?","envy.target"
"26992",21,"Which candidate is more competent?","envy.target"
"26992",22,"Which candidate is more competent?","envy.target"
"26992",23,"Which candidate is more competent?","envy.target"
"26992",24,"Which candidate is more warm?","pity.target"
"26992",25,"Which candidate is more competent?","envy.target"
"26992",26,"Which candidate is more competent?","envy.target"
"26992",27,"Which candidate is more competent?","envy.target"
"26992",28,"Which candidate is more warm?","pity.target"
"26992",29,"Which candidate is more competent?","envy.target"
"26992",3,"Which candidate is more competent?","envy.target"
"26992",30,"Which candidate is more competent?","envy.target"
"26992",4,"Which candidate is more competent?","envy.target"
"26992",5,"Which candidate is more competent?","envy.target"
"26992",6,"Which candidate is more warm?","pity.target"
"26992",7,"Which candidate is more competent?","envy.target"
"26992",8,"Which candidate is more warm?","pity.target"
"26992",9,"Which candidate is more competent?","envy.target"
"33485",1,"Which candidate is more warm?","pity.target"
"33485",10,"Which candidate is more competent?","envy.target"
"33485",11,"Which candidate is more competent?","envy.target"
"33485",12,"Which candidate is more warm?","pity.target"
"33485",13,"Which candidate is more warm?","pity.target"
"33485",14,"Which candidate is more warm?","pity.target"
"33485",15,"Which candidate is more warm?","pity.target"
"33485",16,"Which candidate is more warm?","pity.target"
"33485",17,"Which candidate is more competent?","envy.target"
"33485",18,"Which candidate is more warm?","pity.target"
"33485",19,"Which candidate is more warm?","pity.target"
"33485",2,"Which candidate is more warm?","pity.target"
"33485",20,"Which candidate is more warm?","pity.target"
"33485",21,"Which candidate is more warm?","pity.target"
"33485",22,"Which candidate is more warm?","pity.target"
"33485",23,"Which candidate is more warm?","pity.target"
"33485",24,"Which candidate is more warm?","pity.target"
"33485",25,"Which candidate is more warm?","pity.target"
"33485",26,"Which candidate is more competent?","envy.target"
"33485",27,"Which candidate is more warm?","pity.target"
"33485",28,"Which candidate is more warm?","envy.target"
"33485",29,"Which candidate is more warm?","pity.target"
"33485",3,"Which candidate is more warm?","pity.target"
"33485",30,"Which candidate is more warm?","pity.target"
"33485",4,"Which candidate is more competent?","envy.target"
"33485",5,"Which candidate is more warm?","pity.target"
"33485",6,"Which candidate is more warm?","pity.target"
"33485",7,"Which candidate is more competent?","envy.target"
"33485",8,"Which candidate is more warm?","pity.target"
"33485",9,"Which candidate is more warm?","pity.target"
"61746",1,"Which candidate is more competent?","envy.target"
"61746",10,"Which candidate is more competent?","envy.target"
"61746",11,"Which candidate is more warm?","pity.target"
"61746",12,"Which candidate is more competent?","envy.target"
"61746",13,"Which candidate is more warm?","pity.target"
"61746",14,"Which candidate is more warm?","pity.target"
"61746",15,"Which candidate is more warm?","pity.target"
"61746",16,"Which candidate is more competent?","envy.target"
"61746",17,"Which candidate is more warm?","pity.target"
"61746",18,"Which candidate is more competent?","envy.target"
"61746",19,"Which candidate is more competent?","envy.target"
"61746",2,"Which candidate is more competent?","envy.target"
"61746",20,"Which candidate is more warm?","pity.target"
"61746",21,"Which candidate is more competent?","envy.target"
"61746",22,"Which candidate is more warm?","pity.target"
"61746",23,"Which candidate is more warm?","envy.target"
"61746",24,"Which candidate is more warm?","pity.target"
"61746",25,"Which candidate is more competent?","envy.target"
"61746",26,"Which candidate is more competent?","envy.target"
"61746",27,"Which candidate is more competent?","envy.target"
"61746",28,"Which candidate is more warm?","pity.target"
"61746",29,"Which candidate is more competent?","envy.target"
"61746",3,"Which candidate is more warm?","pity.target"
"61746",30,"Which candidate is more warm?","pity.target"
"61746",4,"Which candidate is more competent?","envy.target"
"61746",5,"Which candidate is more warm?","pity.target"
"61746",6,"Which candidate is more warm?","pity.target"
"61746",7,"Which candidate is more competent?","envy.target"
"61746",8,"Which candidate is more competent?","envy.target"
"61746",9,"Which candidate is more warm?","pity.target"
"66018",1,"Which candidate is more competent?","envy.target"
"66018",10,"Which candidate is more competent?","envy.target"
"66018",11,"Which candidate is more warm?","pity.target"
"66018",12,"Which candidate is more warm?","pity.target"
"66018",13,"Which candidate is more competent?","envy.target"
"66018",14,"Which candidate is more competent?","envy.target"
"66018",15,"Which candidate is more competent?","envy.target"
"66018",16,"Which candidate is more competent?","envy.target"
"66018",17,"Which candidate is more competent?","envy.target"
"66018",18,"Which candidate is more competent?","envy.target"
"66018",19,"Which candidate is more competent?","envy.target"
"66018",2,"Which candidate is more warm?","pity.target"
"66018",20,"Which candidate is more competent?","envy.target"
"66018",21,"Which candidate is more competent?","envy.target"
"66018",22,"Which candidate is more competent?","envy.target"
"66018",23,"Which candidate is more competent?","envy.target"
"66018",24,"Which candidate is more competent?","envy.target"
"66018",25,"Which candidate is more competent?","envy.target"
"66018",26,"Which candidate is more warm?","pity.target"
"66018",27,"Which candidate is more competent?","envy.target"
"66018",28,"Which candidate is more warm?","pity.target"
"66018",29,"Which candidate is more warm?","pity.target"
"66018",3,"Which candidate is more competent?","envy.target"
"66018",30,"Which candidate is more competent?","envy.target"
"66018",4,"Which candidate is more competent?","envy.target"
"66018",5,"Which candidate is more competent?","envy.target"
"66018",6,"Which candidate is more competent?","pity.target"
"66018",7,"Which candidate is more competent?","envy.target"
"66018",8,"Which candidate is more competent?","envy.target"
"66018",9,"Which candidate is more competent?","envy.target"
"83085",1,"Which candidate is more warm?","pity.target"
"83085",10,"Which candidate is more competent?","envy.target"
"83085",11,"Which candidate is more warm?","pity.target"
"83085",12,"Which candidate is more warm?","pity.target"
"83085",13,"Which candidate is more warm?","pity.target"
"83085",14,"Which candidate is more warm?","pity.target"
"83085",15,"Which candidate is more warm?","pity.target"
"83085",16,"Which candidate is more warm?","pity.target"
"83085",17,"Which candidate is more warm?","pity.target"
"83085",18,"Which candidate is more warm?","pity.target"
"83085",19,"Which candidate is more warm?","pity.target"
"83085",2,"Which candidate is more competent?","envy.target"
"83085",20,"Which candidate is more warm?","pity.target"
"83085",21,"Which candidate is more warm?","pity.target"
"83085",22,"Which candidate is more warm?","pity.target"
"83085",23,"Which candidate is more warm?","pity.target"
"83085",24,"Which candidate is more warm?","pity.target"
"83085",25,"Which candidate is more warm?","pity.target"
"83085",26,"Which candidate is more warm?","pity.target"
"83085",27,"Which candidate is more competent?","envy.target"
"83085",28,"Which candidate is more warm?","pity.target"
"83085",29,"Which candidate is more warm?","pity.target"
"83085",3,"Which candidate is more warm?","pity.target"
"83085",30,"Which candidate is more warm?","pity.target"
"83085",4,"Which candidate is more warm?","pity.target"
"83085",5,"Which candidate is more competent?","envy.target"
"83085",6,"Which candidate is more warm?","pity.target"
"83085",7,"Which candidate is more competent?","envy.target"
"83085",8,"Which candidate is more competent?","envy.target"
"83085",9,"Which candidate is more warm?","pity.target"
"84403",1,"Which candidate is more warm?","pity.target"
"84403",10,"Which candidate is more competent?","envy.target"
"84403",11,"Which candidate is more competent?","envy.target"
"84403",12,"Which candidate is more warm?","pity.target"
"84403",13,"Which candidate is more competent?","envy.target"
"84403",14,"Which candidate is more competent?","envy.target"
"84403",15,"Which candidate is more competent?","envy.target"
"84403",16,"Which candidate is more competent?","envy.target"
"84403",17,"Which candidate is more competent?","envy.target"
"84403",18,"Which candidate is more competent?","envy.target"
"84403",19,"Which candidate is more competent?","envy.target"
"84403",2,"Which candidate is more competent?","envy.target"
"84403",20,"Which candidate is more competent?","envy.target"
"84403",21,"Which candidate is more competent?","envy.target"
"84403",22,"Which candidate is more competent?","envy.target"
"84403",23,"Which candidate is more competent?","envy.target"
"84403",24,"Which candidate is more competent?","envy.target"
"84403",25,"Which candidate is more competent?","envy.target"
"84403",26,"Which candidate is more warm?","pity.target"
"84403",27,"Which candidate is more competent?","envy.target"
"84403",28,"Which candidate is more competent?","envy.target"
"84403",29,"Which candidate is more competent?","envy.target"
"84403",3,"Which candidate is more warm?","pity.target"
"84403",30,"Which candidate is more competent?","envy.target"
"84403",4,"Which candidate is more competent?","envy.target"
"84403",5,"Which candidate is more warm?","pity.target"
"84403",6,"Which candidate is more competent?","envy.target"
"84403",7,"Which candidate is more competent?","envy.target"
"84403",8,"Which candidate is more warm?","pity.target"
"84403",9,"Which candidate is more competent?","envy.target"
"88666",1,"Which candidate is more competent?","envy.target"
"88666",10,"Which candidate is more competent?","envy.target"
"88666",11,"Which candidate is more competent?","envy.target"
"88666",12,"Which candidate is more competent?","envy.target"
"88666",13,"Which candidate is more competent?","envy.target"
"88666",14,"Which candidate is more competent?","envy.target"
"88666",15,"Which candidate is more competent?","envy.target"
"88666",16,"Which candidate is more competent?","envy.target"
"88666",17,"Which candidate is more competent?","envy.target"
"88666",18,"Which candidate is more competent?","envy.target"
"88666",19,"Which candidate is more competent?","envy.target"
"88666",2,"Which candidate is more competent?","envy.target"
"88666",20,"Which candidate is more competent?","envy.target"
"88666",21,"Which candidate is more competent?","envy.target"
"88666",22,"Which candidate is more warm?","pity.target"
"88666",23,"Which candidate is more competent?","envy.target"
"88666",24,"Which candidate is more competent?","envy.target"
"88666",25,"Which candidate is more warm?","pity.target"
"88666",26,"Which candidate is more warm?","pity.target"
"88666",27,"Which candidate is more competent?","envy.target"
"88666",28,"Which candidate is more warm?","pity.target"
"88666",29,"Which candidate is more warm?","pity.target"
"88666",3,"Which candidate is more competent?","envy.target"
"88666",30,"Which candidate is more competent?","envy.target"
"88666",4,"Which candidate is more warm?","pity.target"
"88666",5,"Which candidate is more competent?","envy.target"
"88666",6,"Which candidate is more competent?","envy.target"
"88666",7,"Which candidate is more competent?","envy.target"
"88666",8,"Which candidate is more competent?","envy.target"
"88666",9,"Which candidate is more competent?","envy.target"
"91842",1,"Which candidate is more competent?","envy.target"
"91842",10,"Which candidate is more competent?","envy.target"
"91842",11,"Which candidate is more competent?","envy.target"
"91842",12,"Which candidate is more competent?","envy.target"
"91842",13,"Which candidate is more competent?","envy.target"
"91842",14,"Which candidate is more competent?","envy.target"
"91842",15,"Which candidate is more competent?","envy.target"
"91842",16,"Which candidate is more warm?","pity.target"
"91842",17,"Which candidate is more competent?","envy.target"
"91842",18,"Which candidate is more competent?","envy.target"
"91842",19,"Which candidate is more warm?","pity.target"
"91842",2,"Which candidate is more competent?","envy.target"
"91842",20,"Which candidate is more competent?","envy.target"
"91842",21,"Which candidate is more competent?","envy.target"
"91842",22,"Which candidate is more competent?","envy.target"
"91842",23,"Which candidate is more competent?","envy.target"
"91842",24,"Which candidate is more competent?","envy.target"
"91842",25,"Which candidate is more warm?","pity.target"
"91842",26,"Which candidate is more competent?","envy.target"
"91842",27,"Which candidate is more competent?","envy.target"
"91842",28,"Which candidate is more competent?","envy.target"
"91842",29,"Which candidate is more warm?","pity.target"
"91842",3,"Which candidate is more competent?","envy.target"
"91842",30,"Which candidate is more warm?","pity.target"
"91842",4,"Which candidate is more competent?","envy.target"
"91842",5,"Which candidate is more competent?","envy.target"
"91842",6,"Which candidate is more competent?","envy.target"
"91842",7,"Which candidate is more competent?","envy.target"
"91842",8,"Which candidate is more competent?","envy.target"
"91842",9,"Which candidate is more warm?","pity.target"
"94407",1,"Which candidate is more warm?","pity.target"
"94407",10,"Which candidate is more warm?","pity.target"
"94407",11,"Which candidate is more warm?","pity.target"
"94407",12,"Which candidate is more warm?","pity.target"
"94407",13,"Which candidate is more warm?","pity.target"
"94407",14,"Which candidate is more warm?","pity.target"
"94407",15,"Which candidate is more competent?","envy.target"
"94407",16,"Which candidate is more warm?","pity.target"
"94407",17,"Which candidate is more warm?","pity.target"
"94407",18,"Which candidate is more warm?","pity.target"
"94407",19,"Which candidate is more warm?","pity.target"
"94407",2,"Which candidate is more competent?","pity.target"
"94407",20,"Which candidate is more warm?","pity.target"
"94407",21,"Which candidate is more warm?","pity.target"
"94407",22,"Which candidate is more warm?","pity.target"
"94407",23,"Which candidate is more competent?","envy.target"
"94407",24,"Which candidate is more warm?","pity.target"
"94407",25,"Which candidate is more competent?","envy.target"
"94407",26,"Which candidate is more warm?","pity.target"
"94407",27,"Which candidate is more warm?","pity.target"
"94407",28,"Which candidate is more warm?","pity.target"
"94407",29,"Which candidate is more competent?","envy.target"
"94407",3,"Which candidate is more warm?","pity.target"
"94407",30,"Which candidate is more warm?","pity.target"
"94407",4,"Which candidate is more competent?","envy.target"
"94407",5,"Which candidate is more warm?","pity.target"
"94407",6,"Which candidate is more warm?","pity.target"
"94407",7,"Which candidate is more warm?","pity.target"
"94407",8,"Which candidate is more warm?","pity.target"
"94407",9,"Which candidate is more warm?","pity.target"
"96678",1,"Which candidate is more competent?","envy.target"
"96678",10,"Which candidate is more competent?","envy.target"
"96678",11,"Which candidate is more competent?","envy.target"
"96678",12,"Which candidate is more competent?","envy.target"
"96678",13,"Which candidate is more competent?","envy.target"
"96678",14,"Which candidate is more competent?","envy.target"
"96678",15,"Which candidate is more competent?","envy.target"
"96678",16,"Which candidate is more competent?","envy.target"
"96678",17,"Which candidate is more competent?","envy.target"
"96678",18,"Which candidate is more competent?","envy.target"
"96678",19,"Which candidate is more competent?","envy.target"
"96678",2,"Which candidate is more warm?","pity.target"
"96678",20,"Which candidate is more warm?","pity.target"
"96678",21,"Which candidate is more competent?","envy.target"
"96678",22,"Which candidate is more competent?","envy.target"
"96678",23,"Which candidate is more competent?","envy.target"
"96678",24,"Which candidate is more warm?","pity.target"
"96678",25,"Which candidate is more competent?","envy.target"
"96678",26,"Which candidate is more competent?","envy.target"
"96678",27,"Which candidate is more competent?","envy.target"
"96678",28,"Which candidate is more warm?","pity.target"
"96678",29,"Which candidate is more warm?","pity.target"
"96678",3,"Which candidate is more competent?","envy.target"
"96678",30,"Which candidate is more competent?","envy.target"
"96678",4,"Which candidate is more competent?","envy.target"
"96678",5,"Which candidate is more competent?","envy.target"
"96678",6,"Which candidate is more competent?","envy.target"
"96678",7,"Which candidate is more warm?","pity.target"
"96678",8,"Which candidate is more competent?","pity.target"
"96678",9,"Which candidate is more competent?","envy.target"
"112304",1,"Which candidate is more warm?","pity.target"
"112304",10,"Which candidate is more warm?","pity.target"
"112304",11,"Which candidate is more warm?","pity.target"
"112304",12,"Which candidate is more warm?","pity.target"
"112304",13,"Which candidate is more warm?","pity.target"
"112304",14,"Which candidate is more competent?","envy.target"
"112304",15,"Which candidate is more competent?","envy.target"
"112304",16,"Which candidate is more warm?","pity.target"
"112304",17,"Which candidate is more competent?","envy.target"
"112304",18,"Which candidate is more competent?","envy.target"
"112304",19,"Which candidate is more competent?","envy.target"
"112304",2,"Which candidate is more competent?","envy.target"
"112304",20,"Which candidate is more warm?","pity.target"
"112304",21,"Which candidate is more warm?","pity.target"
"112304",22,"Which candidate is more warm?","pity.target"
"112304",23,"Which candidate is more warm?","pity.target"
"112304",24,"Which candidate is more warm?","pity.target"
"112304",25,"Which candidate is more competent?","envy.target"
"112304",26,"Which candidate is more warm?","pity.target"
"112304",27,"Which candidate is more warm?","pity.target"
"112304",28,"Which candidate is more competent?","envy.target"
"112304",29,"Which candidate is more warm?","pity.target"
"112304",3,"Which candidate is more competent?","envy.target"
"112304",30,"Which candidate is more warm?","pity.target"
"112304",4,"Which candidate is more competent?","envy.target"
"112304",5,"Which candidate is more competent?","envy.target"
"112304",6,"Which candidate is more competent?","envy.target"
"112304",7,"Which candidate is more competent?","envy.target"
"112304",8,"Which candidate is more competent?","envy.target"
"112304",9,"Which candidate is more competent?","envy.target"
"119607",1,"Which candidate is more competent?","envy.target"
"119607",10,"Which candidate is more warm?","pity.target"
"119607",11,"Which candidate is more warm?","pity.target"
"119607",12,"Which candidate is more warm?","pity.target"
"119607",13,"Which candidate is more warm?","pity.target"
"119607",14,"Which candidate is more warm?","pity.target"
"119607",15,"Which candidate is more warm?","pity.target"
"119607",16,"Which candidate is more competent?","envy.target"
"119607",17,"Which candidate is more warm?","pity.target"
"119607",18,"Which candidate is more warm?","pity.target"
"119607",19,"Which candidate is more warm?","pity.target"
"119607",2,"Which candidate is more warm?","pity.target"
"119607",20,"Which candidate is more warm?","pity.target"
"119607",21,"Which candidate is more competent?","envy.target"
"119607",22,"Which candidate is more warm?","pity.target"
"119607",23,"Which candidate is more warm?","pity.target"
"119607",24,"Which candidate is more warm?","pity.target"
"119607",25,"Which candidate is more warm?","pity.target"
"119607",26,"Which candidate is more warm?","pity.target"
"119607",27,"Which candidate is more competent?","envy.target"
"119607",28,"Which candidate is more competent?","envy.target"
"119607",29,"Which candidate is more warm?","pity.target"
"119607",3,"Which candidate is more warm?","pity.target"
"119607",30,"Which candidate is more warm?","pity.target"
"119607",4,"Which candidate is more competent?","envy.target"
"119607",5,"Which candidate is more warm?","pity.target"
"119607",6,"Which candidate is more warm?","pity.target"
"119607",7,"Which candidate is more warm?","pity.target"
"119607",8,"Which candidate is more warm?","pity.target"
"119607",9,"Which candidate is more warm?","pity.target"
"136674",1,"Which candidate is more competent?","envy.target"
"136674",10,"Which candidate is more competent?","envy.target"
"136674",11,"Which candidate is more warm?","pity.target"
"136674",12,"Which candidate is more competent?","envy.target"
"136674",13,"Which candidate is more competent?","envy.target"
"136674",14,"Which candidate is more competent?","envy.target"
"136674",15,"Which candidate is more competent?","envy.target"
"136674",16,"Which candidate is more warm?","pity.target"
"136674",17,"Which candidate is more competent?","envy.target"
"136674",18,"Which candidate is more competent?","envy.target"
"136674",19,"Which candidate is more competent?","envy.target"
"136674",2,"Which candidate is more competent?","envy.target"
"136674",20,"Which candidate is more competent?","envy.target"
"136674",21,"Which candidate is more warm?","pity.target"
"136674",22,"Which candidate is more competent?","envy.target"
"136674",23,"Which candidate is more competent?","envy.target"
"136674",24,"Which candidate is more competent?","envy.target"
"136674",25,"Which candidate is more competent?","envy.target"
"136674",26,"Which candidate is more warm?","pity.target"
"136674",27,"Which candidate is more competent?","envy.target"
"136674",28,"Which candidate is more competent?","envy.target"
"136674",29,"Which candidate is more competent?","envy.target"
"136674",3,"Which candidate is more competent?","envy.target"
"136674",30,"Which candidate is more warm?","pity.target"
"136674",4,"Which candidate is more warm?","pity.target"
"136674",5,"Which candidate is more competent?","envy.target"
"136674",6,"Which candidate is more competent?","pity.target"
"136674",7,"Which candidate is more competent?","envy.target"
"136674",8,"Which candidate is more competent?","envy.target"
"136674",9,"Which candidate is more competent?","envy.target"
"140761",1,"Which candidate is more competent?","envy.target"
"140761",10,"Which candidate is more warm?","pity.target"
"140761",11,"Which candidate is more warm?","pity.target"
"140761",12,"Which candidate is more warm?","pity.target"
"140761",13,"Which candidate is more warm?","pity.target"
"140761",14,"Which candidate is more warm?","pity.target"
"140761",15,"Which candidate is more warm?","pity.target"
"140761",16,"Which candidate is more warm?","pity.target"
"140761",17,"Which candidate is more warm?","pity.target"
"140761",18,"Which candidate is more competent?","envy.target"
"140761",19,"Which candidate is more warm?","pity.target"
"140761",2,"Which candidate is more competent?","pity.target"
"140761",20,"Which candidate is more warm?","pity.target"
"140761",21,"Which candidate is more warm?","pity.target"
"140761",22,"Which candidate is more warm?","pity.target"
"140761",23,"Which candidate is more warm?","pity.target"
"140761",24,"Which candidate is more competent?","envy.target"
"140761",25,"Which candidate is more warm?","pity.target"
"140761",26,"Which candidate is more competent?","envy.target"
"140761",27,"Which candidate is more warm?","pity.target"
"140761",28,"Which candidate is more competent?","envy.target"
"140761",29,"Which candidate is more competent?","envy.target"
"140761",3,"Which candidate is more competent?","envy.target"
"140761",30,"Which candidate is more competent?","envy.target"
"140761",4,"Which candidate is more competent?","envy.target"
"140761",5,"Which candidate is more competent?","envy.target"
"140761",6,"Which candidate is more competent?","envy.target"
"140761",7,"Which candidate is more competent?","envy.target"
"140761",8,"Which candidate is more competent?","envy.target"
"140761",9,"Which candidate is more competent?","envy.target"
"149377",1,"Which candidate is more warm?","pity.target"
"149377",10,"Which candidate is more warm?","envy.target"
"149377",11,"Which candidate is more warm?","pity.target"
"149377",12,"Which candidate is more warm?","pity.target"
"149377",13,"Which candidate is more warm?","envy.target"
"149377",14,"Which candidate is more warm?","pity.target"
"149377",15,"Which candidate is more competent?","envy.target"
"149377",16,"Which candidate is more warm?","envy.target"
"149377",17,"Which candidate is more warm?","envy.target"
"149377",18,"Which candidate is more warm?","pity.target"
"149377",19,"Which candidate is more warm?","envy.target"
"149377",2,"Which candidate is more warm?","envy.target"
"149377",20,"Which candidate is more warm?","envy.target"
"149377",21,"Which candidate is more competent?","pity.target"
"149377",22,"Which candidate is more warm?","envy.target"
"149377",23,"Which candidate is more competent?","pity.target"
"149377",24,"Which candidate is more warm?","envy.target"
"149377",25,"Which candidate is more competent?","pity.target"
"149377",26,"Which candidate is more warm?","envy.target"
"149377",27,"Which candidate is more warm?","envy.target"
"149377",28,"Which candidate is more warm?","pity.target"
"149377",29,"Which candidate is more warm?","pity.target"
"149377",3,"Which candidate is more warm?","pity.target"
"149377",30,"Which candidate is more warm?","pity.target"
"149377",4,"Which candidate is more warm?","pity.target"
"149377",5,"Which candidate is more warm?","pity.target"
"149377",6,"Which candidate is more warm?","pity.target"
"149377",7,"Which candidate is more warm?","pity.target"
"149377",8,"Which candidate is more competent?","pity.target"
"149377",9,"Which candidate is more competent?","pity.target"
"170886",1,"Which candidate is more competent?","envy.target"
"170886",10,"Which candidate is more competent?","envy.target"
"170886",11,"Which candidate is more warm?","pity.target"
"170886",12,"Which candidate is more competent?","envy.target"
"170886",13,"Which candidate is more warm?","pity.target"
"170886",14,"Which candidate is more warm?","pity.target"
"170886",15,"Which candidate is more warm?","pity.target"
"170886",16,"Which candidate is more competent?","envy.target"
"170886",17,"Which candidate is more competent?","envy.target"
"170886",18,"Which candidate is more warm?","pity.target"
"170886",19,"Which candidate is more competent?","envy.target"
"170886",2,"Which candidate is more competent?","envy.target"
"170886",20,"Which candidate is more warm?","pity.target"
"170886",21,"Which candidate is more competent?","envy.target"
"170886",22,"Which candidate is more warm?","pity.target"
"170886",23,"Which candidate is more warm?","pity.target"
"170886",24,"Which candidate is more warm?","pity.target"
"170886",25,"Which candidate is more warm?","pity.target"
"170886",26,"Which candidate is more warm?","pity.target"
"170886",27,"Which candidate is more warm?","pity.target"
"170886",28,"Which candidate is more warm?","pity.target"
"170886",29,"Which candidate is more competent?","envy.target"
"170886",3,"Which candidate is more competent?","envy.target"
"170886",30,"Which candidate is more competent?","envy.target"
"170886",4,"Which candidate is more competent?","envy.target"
"170886",5,"Which candidate is more competent?","envy.target"
"170886",6,"Which candidate is more competent?","envy.target"
"170886",7,"Which candidate is more warm?","pity.target"
"170886",8,"Which candidate is more competent?","envy.target"
"170886",9,"Which candidate is more warm?","pity.target"
"193152",1,"Which candidate is more competent?","envy.target"
"193152",10,"Which candidate is more warm?","pity.target"
"193152",11,"Which candidate is more warm?","pity.target"
"193152",12,"Which candidate is more warm?","pity.target"
"193152",13,"Which candidate is more warm?","pity.target"
"193152",14,"Which candidate is more competent?","envy.target"
"193152",15,"Which candidate is more competent?","envy.target"
"193152",16,"Which candidate is more warm?","pity.target"
"193152",17,"Which candidate is more warm?","pity.target"
"193152",18,"Which candidate is more warm?","pity.target"
"193152",19,"Which candidate is more warm?","pity.target"
"193152",2,"Which candidate is more warm?","pity.target"
"193152",20,"Which candidate is more warm?","pity.target"
"193152",21,"Which candidate is more warm?","pity.target"
"193152",22,"Which candidate is more warm?","pity.target"
"193152",23,"Which candidate is more competent?","envy.target"
"193152",24,"Which candidate is more warm?","pity.target"
"193152",25,"Which candidate is more warm?","pity.target"
"193152",26,"Which candidate is more warm?","pity.target"
"193152",27,"Which candidate is more warm?","pity.target"
"193152",28,"Which candidate is more warm?","pity.target"
"193152",29,"Which candidate is more warm?","pity.target"
"193152",3,"Which candidate is more warm?","pity.target"
"193152",30,"Which candidate is more warm?","pity.target"
"193152",4,"Which candidate is more warm?","pity.target"
"193152",5,"Which candidate is more competent?","envy.target"
"193152",6,"Which candidate is more warm?","pity.target"
"193152",7,"Which candidate is more warm?","pity.target"
"193152",8,"Which candidate is more warm?","pity.target"
"193152",9,"Which candidate is more competent?","envy.target"
"193481",1,"Which candidate is more warm?","pity.target"
"193481",10,"Which candidate is more warm?","pity.target"
"193481",11,"Which candidate is more competent?","envy.target"
"193481",12,"Which candidate is more competent?","envy.target"
"193481",13,"Which candidate is more competent?","envy.target"
"193481",14,"Which candidate is more competent?","envy.target"
"193481",15,"Which candidate is more competent?","envy.target"
"193481",16,"Which candidate is more competent?","envy.target"
"193481",17,"Which candidate is more warm?","pity.target"
"193481",18,"Which candidate is more competent?","envy.target"
"193481",19,"Which candidate is more competent?","pity.target"
"193481",2,"Which candidate is more warm?","pity.target"
